edition,edition_status,ledger,event_scope,cohort,team_id,team,card_events,foul_events,red_weight,mean_card_segment,mean_foul_segment,delta,p_delta,q_delta,w1,p_w1,q_w1,bh_m,evidentiary_status,source_status,permutations,seed,note
2014,final,stripped,expanded,all_teams,43922,Argentina,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43976,Australia,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43935,Belgium,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,44037,Bosnia-Herzegovina,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43924,Brazil,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43849,Cameroon,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43925,Chile,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43926,Colombia,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43901,Costa Rica,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43938,Croatia,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43854,Côte d'Ivoire,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43927,Ecuador,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43942,England,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43946,France,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43948,Germany,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43860,Ghana,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43949,Greece,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43909,Honduras,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43817,Iran,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43954,Italy,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43819,Japan,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43822,Korea Republic,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43911,Mexico,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43960,Netherlands,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43876,Nigeria,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43963,Portugal,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
