edition,match_number,fifa_match_id,stage,date_utc,team,opponent,team_id,is_official,recipient,id_player,card_type,minute_label,t_min,period,basis,t_end_min,t_end_source,rho,W1,D1,N_horizon,W2,first_yellow_t_min,event_description
2014,1,300186456,First stage,2014-06-12T20:00:00Z,Brazil,Croatia,43924,0,NEYMAR JR,314197,Y,26',26.0,3,90.0,94.93,fotmob,1,64.0,68.93,4,424.0,,NEYMAR JR (Brazil) is booked by the referee.
2014,1,300186456,First stage,2014-06-12T20:00:00Z,Croatia,Brazil,43938,0,ĆORLUKA,297373,Y,65',65.0,5,90.0,94.93,fotmob,1,25.0,29.93,4,385.0,,ĆORLUKA (Croatia) is booked by the referee.
2014,1,300186456,First stage,2014-06-12T20:00:00Z,Croatia,Brazil,43938,0,LOVREN,312432,Y,68',68.0,5,90.0,94.93,fotmob,1,22.0,26.93,4,382.0,,LOVREN (Croatia) is booked by the referee.
2014,1,300186456,First stage,2014-06-12T20:00:00Z,Brazil,Croatia,43924,0,Luiz Gustavo,367918,Y,87',87.0,5,90.0,94.93,fotmob,1,3.0,7.93,4,363.0,,Luiz Gustavo (Brazil) is booked by the referee.
2014,2,300186492,First stage,2014-06-13T16:00:00Z,Mexico,Cameroon,43911,0,H. MORENO,238112,Y,56',56.0,5,90.0,94.25,fotmob,1,34.0,38.25,4,394.0,,H. MORENO (Mexico) is booked by the referee.
2014,2,300186492,First stage,2014-06-13T16:00:00Z,Cameroon,Mexico,43849,0,Nounkeu,200259,Y,76',76.0,5,90.0,94.25,fotmob,1,14.0,18.25,4,374.0,,Nounkeu (Cameroon) is booked by the referee.
2014,3,300186510,First stage,2014-06-13T19:00:00Z,Netherlands,Spain,43960,0,J. de Guzmán,298677,Y,24',24.0,3,90.0,93.85,fotmob,1,66.0,69.85,4,426.0,,J. de Guzmán (Netherlands) is booked by the referee.
2014,3,300186510,First stage,2014-06-13T19:00:00Z,Netherlands,Spain,43960,0,De Vrij,313021,Y,40',40.0,3,90.0,93.85,fotmob,1,50.0,53.85,4,410.0,,De Vrij (Netherlands) is booked by the referee.
2014,3,300186510,First stage,2014-06-13T19:00:00Z,Spain,Netherlands,43969,0,Casillas,176644,Y,64',64.0,5,90.0,93.85,fotmob,1,26.0,29.85,4,386.0,,Casillas (Spain) is booked by the referee.
2014,3,300186510,First stage,2014-06-13T19:00:00Z,Netherlands,Spain,43960,0,Robin VAN PERSIE,217315,Y,65',65.0,5,90.0,93.85,fotmob,1,25.0,28.85,4,385.0,,Robin VAN PERSIE (Netherlands) is booked by the referee.
2014,4,300186473,First stage,2014-06-13T22:00:00Z,Australia,Chile,43976,0,CAHILL,213001,Y,43',43.0,3,90.0,94.12,fotmob,1,47.0,51.12,4,407.0,,CAHILL (Australia) is booked by the referee.
2014,4,300186473,First stage,2014-06-13T22:00:00Z,Australia,Chile,43976,0,JEDINAK,197514,Y,57',57.0,5,90.0,94.12,fotmob,1,33.0,37.12,4,393.0,,JEDINAK (Australia) is booked by the referee.
2014,4,300186473,First stage,2014-06-13T22:00:00Z,Australia,Chile,43976,0,MILLIGAN,197411,Y,67',67.0,5,90.0,94.12,fotmob,1,23.0,27.12,4,383.0,,MILLIGAN (Australia) is booked by the referee.
2014,4,300186473,First stage,2014-06-13T22:00:00Z,Chile,Australia,43925,0,C. Aránguiz,318150,Y,85',85.0,5,90.0,94.12,fotmob,1,5.0,9.12,4,365.0,,C. Aránguiz (Chile) is booked by the referee.
2014,5,300186471,First stage,2014-06-14T16:00:00Z,Colombia,Greece,43926,0,C. SANCHEZ,280487,Y,25',25.0,3,90.0,93.87,fotmob,1,65.0,68.87,4,425.0,,C. SANCHEZ (Colombia) is booked by the referee.
2014,5,300186471,First stage,2014-06-14T16:00:00Z,Greece,Colombia,43949,0,S. Papastathopoulos,299090,Y,51',51.0,5,90.0,93.87,fotmob,1,39.0,42.87,4,399.0,,S. Papastathopoulos (Greece) is booked by the referee.
2014,5,300186471,First stage,2014-06-14T16:00:00Z,Greece,Colombia,43949,0,Dimitrios SALPINGIDIS,215513,Y,54',54.0,5,90.0,93.87,fotmob,1,36.0,39.87,4,396.0,,Dimitrios SALPINGIDIS (Greece) is booked by the referee.
2014,6,300186507,First stage,2014-06-15T01:00:00Z,Japan,Côte d'Ivoire,43819,0,YOSHIDA,271253,Y,22',22.0,3,90.0,95.9,fotmob,1,68.0,73.9,4,428.0,,YOSHIDA (Japan) is booked by the referee.
2014,6,300186507,First stage,2014-06-15T01:00:00Z,Côte d'Ivoire,Japan,43854,0,Bamba,207946,Y,53',53.0,5,90.0,95.9,fotmob,1,37.0,42.9,4,397.0,,Bamba (Côte d'Ivoire) is booked by the referee.
2014,6,300186507,First stage,2014-06-15T01:00:00Z,Côte d'Ivoire,Japan,43854,0,Didier ZOKORA,176971,Y,57',57.0,5,90.0,95.9,fotmob,1,33.0,38.9,4,393.0,,Didier ZOKORA (Côte d'Ivoire) is booked by the referee.
2014,6,300186507,First stage,2014-06-15T01:00:00Z,Japan,Côte d'Ivoire,43819,0,M. Morishige,268594,Y,63',63.0,5,90.0,95.9,fotmob,1,27.0,32.9,4,387.0,,M. Morishige (Japan) is booked by the referee.
2014,7,300186489,First stage,2014-06-14T19:00:00Z,Uruguay,Costa Rica,43930,0,Diego LUGANO,239433,Y,49',49.0,5,90.0,95.13,fotmob,1,41.0,46.13,4,401.0,,Diego LUGANO (Uruguay) is booked by the referee.
2014,7,300186489,First stage,2014-06-14T19:00:00Z,Uruguay,Costa Rica,43930,0,Gargano,276131,Y,56',56.0,5,90.0,95.13,fotmob,1,34.0,39.13,4,394.0,,Gargano (Uruguay) is booked by the referee.
2014,7,300186489,First stage,2014-06-14T19:00:00Z,Uruguay,Costa Rica,43930,0,M. CACERES,267829,Y,80',80.0,5,90.0,95.13,fotmob,1,10.0,15.13,4,370.0,,M. CACERES (Uruguay) is booked by the referee.
2014,7,300186489,First stage,2014-06-14T19:00:00Z,Uruguay,Costa Rica,43930,0,M. PEREIRA,286481,R,90'+3',93.0,5,90.0,95.13,fotmob,2,,4.26,4,,,M. PEREIRA (Uruguay) is sent off!
2014,8,300186513,First stage,2014-06-14T22:00:00Z,England,Italy,43942,0,STERLING,336043,Y,90'+1',91.0,5,90.0,95.1,fotmob,1,0.0,4.1,4,360.0,,STERLING (England) is booked by the referee.
2014,9,300186494,First stage,2014-06-15T16:00:00Z,Ecuador,Switzerland,43927,0,Paredes,349576,Y,52',52.0,5,90.0,93.87,fotmob,1,38.0,41.87,4,398.0,,Paredes (Ecuador) is booked by the referee.
2014,9,300186494,First stage,2014-06-15T16:00:00Z,Switzerland,Ecuador,43971,0,DJOUROU,216645,Y,83',83.0,5,90.0,93.87,fotmob,1,7.0,10.87,4,367.0,,DJOUROU (Switzerland) is booked by the referee.
2014,10,300186496,First stage,2014-06-15T19:00:00Z,France,Honduras,43946,0,Patrice EVRA,212246,Y,6',6.0,3,90.0,93.08,fotmob,1,84.0,87.08,4,444.0,,Patrice EVRA (France) is booked by the referee.
